		Time			Cycle	PC		Insn	Decoded instruction	Register and memory contents
        3590000	         0	800002b0	6f6d9a97	auipc	x21,0x6f6d9	 x21=0xef6d92b0
        3610000	         0	800002b4	012dd033	srl	x0,x27,x18	 x27:0x00000001 x18:0x7a355a60
        3630000	         0	800002b8	00645b33	srl	x22,x8,x6	  x8:0xff8004a0  x6:0x00000000 x22=0xff8004a0
        3650000	         0	800002bc	00f3e433	or	x8,x7,x15	  x7:0xc6530294 x15:0x00000001  x8=0xc6530295
        3670000	         0	800002c0	01f7ea33	or	x20,x15,x31	 x15:0x00000001 x31:0x00000000 x20=0x00000001
        3690000	         0	800002c4	01569893	slli	x17,x13,0x15	 x13:0xfffff846 x17=0x08c00000
        3710000	         0	800002c8	401c8eb3	sub	x29,x25,x1	 x25:0x00000004  x1:0xfffffe97 x29=0x0000016d
        3730000	         0	800002cc	00cd55b3	srl	x11,x26,x12	 x26:0xe8d5626c x12:0x00000001 x11=0x746ab136
        3750000	         0	800002d0	41288733	sub	x14,x17,x18	 x17:0x08c00000 x18:0x7a355a60 x14=0x8e8aa5a0
        3770000	         0	800002d4	403e81b3	sub	x3,x29,x3	 x29:0x0000016d  x3:0x80000000  x3=0x8000016d
        3790000	         0	800002d8	41d8d193	srai	x3,x17,0x1d	 x17:0x08c00000  x3=0x00000000
        3810000	         0	800002dc	01305cb3	srl	x25,x0,x19	  x0:0x00000000 x19:0x0000000f x25=0x00000000
        3830000	         0	800002e0	00afda93	srli	x21,x31,0xa	 x31:0x00000000 x21=0x00000000
        3850000	         0	800002e4	40885a13	srai	x20,x16,0x8	 x16:0xdff5dd81 x20=0xffdff5dd
        3870000	         0	800002e8	00b1c5b3	xor	x11,x3,x11	  x3:0x00000000 x11:0x746ab136 x11=0x746ab136
        3890000	         0	800002ec	00000013	addi	x0,x0,0	  x0:0x00000000
        3910000	         0	800002f0	00000013	addi	x0,x0,0	  x0:0x00000000
        3930000	         0	800002f4	01986e33	or	x28,x16,x25	 x16:0xdff5dd81 x25:0x00000000 x28=0xdff5dd81
        3950000	         0	800002f8	5b820617	auipc	x12,0x5b820	 x12=0xdb8202f8
        3970000	         0	800002fc	41ce86b3	sub	x13,x29,x28	 x29:0x0000016d x28:0xdff5dd81 x13=0x200a23ec
        3990000	         0	80000300	ec33fb93	andi	x23,x7,-317	  x7:0xc6530294 x23=0xc6530280
        4010000	         0	80000304	85053b13	sltiu	x22,x10,-1968	 x10:0x80014e64 x22=0x00000001
        4030000	         0	80000308	01cee033	or	x0,x29,x28	 x29:0x0000016d x28:0xdff5dd81
        4050000	         0	8000030c	402950b3	sra	x1,x18,x2	 x18:0x7a355a60  x2:0xdd3e7000  x1=0x7a355a60
        4070000	         0	80000310	7cd745b7	lui	x11,0x7cd74	 x11=0x7cd74000
        4090000	         0	80000314	d40af393	andi	x7,x21,-704	 x21:0x00000000  x7=0x00000000
        4110000	         0	80000318	2a6a4d13	xori	x26,x20,678	 x20:0xffdff5dd x26=0xffdff77b
        4130000	         0	8000031c	417f5fb3	sra	x31,x30,x23	 x30:0x80018ce4 x23:0xc6530280 x31=0x80018ce4
        4150000	         0	80000320	004bd593	srli	x11,x23,0x4	 x23:0xc6530280 x11=0x0c653028
        4170000	         0	80000324	526cad13	slti	x26,x25,1318	 x25:0x00000000 x26=0x00000001
        4190000	         0	80000328	00000013	addi	x0,x0,0	  x0:0x00000000
        4210000	         0	8000032c	7784a317	auipc	x6,0x7784a	  x6=0xf784a32c
        4230000	         0	80000330	407f5713	srai	x14,x30,0x7	 x30:0x80018ce4 x14=0xff000319
        4250000	         0	80000334	014778b3	and	x17,x14,x20	 x14:0xff000319 x20:0xffdff5dd x17=0xff000119
        4270000	         0	80000338	f370c913	xori	x18,x1,-201	  x1:0x7a355a60 x18=0x85caa557
        4290000	         0	8000033c	013591b3	sll	x3,x11,x19	 x11:0x0c653028 x19:0x0000000f  x3=0x98140000
        4310000	         0	80000340	616a9197	auipc	x3,0x616a9	  x3=0xe16a9340
        4330000	         0	80000344	015d4133	xor	x2,x26,x21	 x26:0x00000001 x21:0x00000000  x2=0x00000001
        4350000	         0	80000348	016778b3	and	x17,x14,x22	 x14:0xff000319 x22:0x00000001 x17=0x00000001
        4370000	         0	8000034c	b73d3093	sltiu	x1,x26,-1165	 x26:0x00000001  x1=0x00000001
        4390000	         0	80000350	c61aaa93	slti	x21,x21,-927	 x21:0x00000000 x21=0x00000000
        4410000	         0	80000354	0007acb3	slt	x25,x15,x0	 x15:0x00000001  x0:0x00000000 x25=0x00000000
        4430000	         0	80000358	b18e4413	xori	x8,x28,-1256	 x28:0xdff5dd81  x8=0x200a2699
        4450000	         0	8000035c	00000013	addi	x0,x0,0	  x0:0x00000000
        4470000	         0	80000360	00000013	addi	x0,x0,0	  x0:0x00000000
        4490000	         0	80000364	001535b3	sltu	x11,x10,x1	 x10:0x80014e64  x1:0x00000001 x11=0x00000000
        4510000	         0	80000368	bb79b293	sltiu	x5,x19,-1097	 x19:0x0000000f  x5=0x00000001
        4530000	         0	8000036c	3ac9c193	xori	x3,x19,940	 x19:0x0000000f  x3=0x000003a3
        4550000	         0	80000370	0022f233	and	x4,x5,x2	  x5:0x00000001  x2:0x00000001  x4=0x00000001
